"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","15","N","2019032379","2","1","","3","06","Y","DODG","2016","01","2","","1","00","E","000","0","","2","01","03","03","01","PA","2","06","1C4RDJAG5GC","T4W"
"","04","N","2019032513","1","1","","1","06","N","BMW","2007","01","1","","1","00","N","999","0","","2","01","05","02","01","PA","2","01","WBANF735X7C","P4D"
"","09","N","2019030445","3","1","","1","01","Y","CHRY","2019","01","1","","1","00","N","999","0","","2","01","02","01","01","PA","2","01","2C3CCAKG9KH","P"
"","15","N","2019116464","3","3","","3","06","Y","JEEP","2012","01","1","","1","00","S","035","0","","2","01","07","01","01","PA","2","06","1C4PJMCK9CW","T4W"
"","15","N","2019115918","3","1","","3","02","Y","HYUN","2016","02","1","","4","00","W","065","","","3","01","07","16","03","PA","1","06","5XYZT3LBXGG","T4W"
"","09","N","2019115007","3","1","","1","03","Y","TOYT","2018","01","1","","1","00","N","015","0","","1","01","02","12","07","PA","2","01","2T1BURHE5JC","P"
"","69","N","2019114388","9","4","","1","03","N","FORD","","99","1","","1","00","N","015","","","1","05","05","01","13","ZZ","1","04","",""
"","05","N","2019034530","3","1","","1","07","Y","HYUN","2014","02","1","","1","00","N","999","0","","2","01","07","01","01","PA","2","01","KMHD35LH4EU","P4H"
"","15","N","2019034281","3","1","","1","12","Y","SUBA","2011","01","2","","1","00","S","045","0","","2","01","03","01","01","PA","1","06","4S4BRBAC4B3","T4W"
"","05","N","2019033081","2","1","","3","11","Y","HYUN","2014","01","1","","1","00","U","999","0","","2","01","07","01","01","PA","2","01","KMHCT5AE9EU","P4H"
"","15","N","2019115774","2","1","","1","12","Y","FORD","2016","01","1","","3","00","W","999","0","","1","01","01","17","01","PA","2","06","1FM5K8D83GG","T4W"
"","04","N","2019110889","1","1","","2","06","Y","CHEV","2014","01","2","","1","00","N","999","0","","2","01","02","01","01","PA","3","01","1G1PC5SB4E7","P4D"
"","69","N","2019017511","3","1","","1","08","Y","CHEV","2019","01","1","","1","00","S","999","0","","2","01","07","01","01","PA","2","06","1GNEVFKW8KJ","T"
"","04","N","2019115894","3","1","","1","12","Y","ACUR","2007","01","1","","4","00","W","055","0","","1","01","01","16","03","PA","1","01","JH4CL96937C","P4D"
"","04","N","2019035769","2","1","","1","12","Y","CHRY","2016","01","2","","1","00","S","035","0","","1","01","03","01","01","PA","1","01","1C3CCCAB6GN","P4D"
"","04","N","2019033036","3","3","","1","12","U","PONT","2002","99","1","","1","00","W","999","0","","1","01","05","04","03","PA","1","01","1G2NW52E42M","P4D"
"","04","N","2019019149","0","1","","1","12","Y","CHEV","2005","01","4","","1","00","S","999","0","","2","01","05","01","01","PA","1","01","1G1AK52F457","P4D"
"","04","N","2019033777","2","1","","2","01","Y","CHEV","2015","01","2","","1","00","N","999","0","","1","01","05","12","03","PA","1","01","1G11C5SL8FF","P4D"
"","69","N","2019114421","1","1","","1","12","Y","KIA","2018","03","1","","1","00","N","045","","","1","01","03","01","01","FL","1","06","KNDJP3A5XJ7","T"
"","15","N","2019114400","2","1","","2","06","Y","TOYT","2009","01","1","","1","00","E","055","","","2","01","07","01","03","PA","3","06","JTMBF33V09D","T4W"
"","79","Y","2019115602","9","4","","1","09","N","OTHR","","99","1","","1","00","N","065","","","1","05","99","15","01","","1","05","",""
"","15","N","2019019960","3","1","","2","00","Y","CHEV","2001","01","3","","1","00","E","060","0","","1","01","05","01","06","PA","0","06","1GNEK13T51J","T4W"
"","15","N","2019033793","2","1","","3","06","Y","KIA","2011","01","2","","1","00","N","000","","","2","01","09","03","03","PA","2","06","5XYKUDA27BG","T4W"
"","04","N","2019128670","3","1","","1","11","Y","INFI","2013","01","1","","1","00","N","020","0","","1","01","09","12","04","PA","1","01","JN1CV6AR6DM","P4D"
"","51","N","2019049715","3","1","","2","01","Y","FORD","2013","02","1","","1","00","W","035","1","","2","01","99","01","01","PA","1","04","1FTFW1ET5DF","TCW"
"","04","N","2019048077","2","1","","1","11","Y","FORD","2016","01","1","","1","00","E","010","","","1","01","02","12","01","PA","1","01","3FA6P0H76GR","P4D"
"","04","N","2019129352","2","1","","3","06","Y","TOYT","2010","01","1","","1","00","S","000","","","3","01","02","03","06","PA","3","01","4T1BF3EKXAU","P4D"
"","51","N","2019129650","2","1","","1","12","Y","FORD","2012","01","1","","1","00","W","999","","","2","01","05","01","01","PA","2","01","1FTMF1EM1CK","TPK"
"","15","N","2019045353","3","1","","1","09","Y","TOYT","2004","01","1","","3","00","W","030","0","","1","01","03","17","01","PA","3","06","JTEBU14R940","T4W"
"","51","N","2019128298","1","1","","1","06","Y","CHEV","2016","02","2","","1","00","N","000","0","","3","01","03","03","01","FL","2","04","3GCUKREC8GG","TCW"
